condition,layer,token_slot,mean_logprob,std_logprob,mean_prob,std_prob,count
caption,5,vision_half1,-11.597023553848267,1.1466096312026015,1.665429359130228e-05,1.9181851292460872e-05,100
caption,5,vision_half2,-11.585519256591796,1.1385362441788685,1.6662354820893167e-05,1.8750822265280518e-05,100
caption,6,A_content,-10.912356615066528,1.1083159179239022,3.139830533339815e-05,3.280628169494324e-05,100
caption,6,B_content,-10.964741401672363,1.1281568741059902,3.099519828731641e-05,3.486191639213463e-05,100
caption,6,none,-10.755735893249511,1.1267793589216173,3.768270604848656e-05,4.061516285105305e-05,100
caption,6,user,-11.760880308151245,1.1715538118363538,1.5164572814700997e-05,2.0748699596182165e-05,100
caption,6,user_text,-11.588216228485107,1.123551309254757,1.7521369187497895e-05,2.4009045334267234e-05,100
caption,6,vision,-10.643678159713746,1.1176080432592763,4.183215159295987e-05,4.4832651180369704e-05,100
caption,6,vision_half1,-10.715586204528808,1.123776561739671,3.9148223584981725e-05,4.212981530546157e-05,100
caption,6,vision_half2,-10.73993037223816,1.1210395240823818,3.8108924350065594e-05,4.1032524002957036e-05,100
caption,7,A_content,-11.333901557922363,1.2227047123949646,2.215369498494527e-05,2.314211771620135e-05,100
caption,7,B_content,-11.236212339401245,1.184872975322864,2.414680522165243e-05,2.6720153229152245e-05,100
caption,7,none,-11.18501543045044,1.189702790937259,2.4895226581602447e-05,2.5065067582657964e-05,100
caption,7,user,-11.883444709777832,1.2112163316766587,1.3711859657371169e-05,1.8584851984526827e-05,100
caption,7,user_text,-11.765597410202027,1.1903714268689998,1.5277210756999685e-05,2.0712040433931886e-05,100
caption,7,vision,-10.971640939712524,1.1740911263494354,3.03440071007846e-05,2.9624508824624863e-05,100
caption,7,vision_half1,-11.127150716781616,1.19227794524658,2.6355354341999994e-05,2.6130786953876293e-05,100
caption,7,vision_half2,-11.162833375930786,1.1887698183005801,2.537227688528514e-05,2.5314054660092047e-05,100
caption,8,A_content,-11.480869827270508,1.1714437477887873,1.8858446205947924e-05,2.083059389175676e-05,100
caption,8,B_content,-11.212225008010865,1.1796110712362184,2.445766900901679e-05,2.5931154080524892e-05,100
caption,8,none,-11.241789302825929,1.1638257047816174,2.2954013881925077e-05,2.2691391606825645e-05,100
