condition,layer,token_slot,mean_logprob,std_logprob,mean_prob,std_prob,count
caption,14,A_content,-13.028319659233093,0.8343986348586262,3.125959106740201e-06,3.3595250659415897e-06,200
caption,14,B_content,-13.154553761482239,0.850716943248505,2.7431195627889863e-06,2.6044234604526595e-06,200
caption,14,none,-13.08162184715271,0.8147670938632625,2.9024753407657013e-06,2.9810721268240263e-06,200
caption,14,user,-13.989793276786804,0.7923294679258709,1.1399446414311693e-06,9.95524779534801e-07,200
caption,14,user_text,-13.840259470939635,0.7774127963234837,1.2943102273878536e-06,1.0433858996407656e-06,200
caption,14,vision,-12.892637877464294,0.8025542640745634,3.4761418729185504e-06,3.4916356334727966e-06,200
caption,14,vision_half1,-12.976594734191895,0.8054239173854187,3.2013270034852304e-06,3.2478946166327245e-06,200
caption,14,vision_half2,-13.062612433433532,0.8179993468577688,2.9583724103968303e-06,3.0205877840572286e-06,200
caption,15,A_content,-13.225000705718994,0.887445107899727,2.675949104225172e-06,2.9625860869356118e-06,200
caption,15,B_content,-13.530527763366699,0.9081349567024296,1.9761739960923896e-06,2.017997596215467e-06,200
caption,15,none,-13.318706116676331,0.8818003415929434,2.4124528548068917e-06,2.570037568737003e-06,200
caption,15,user,-14.188351216316223,0.8332204288344484,9.614424416603316e-07,8.734225766049528e-07,200
caption,15,user_text,-14.108066439628601,0.8614215289856492,1.0482872176290188e-06,9.31170268164805e-07,200
caption,15,vision,-13.045410008430482,0.8471866068920252,3.0902601452779183e-06,3.2415067225412247e-06,200
caption,15,vision_half1,-13.201697988510132,0.8703404522768204,2.6873658503989897e-06,2.8947186314748568e-06,200
caption,15,vision_half2,-13.28521450996399,0.8792135966508998,2.4865478062217797e-06,2.650313604919086e-06,200
caption,16,A_content,-12.875540704727173,0.8984939336971997,3.860799335849162e-06,4.713945343650631e-06,200
caption,16,B_content,-13.262301363945006,0.9088257717734172,2.640972212916379e-06,3.1551386622342346e-06,200
caption,16,none,-12.966751427650452,0.867651384754139,3.4589811228201957e-06,4.322680428320799e-06,200
caption,16,user,-14.443063535690307,0.8326687357722344,7.457903441689921e-07,6.761136402891942e-07,200
caption,16,user_text,-14.127678179740906,0.8720778519075949,1.0307939708153053e-06,8.991773552552098e-07,200
caption,16,vision,-12.733915376663209,0.834636318314918,4.231346613642527e-06,4.972222730358597e-06,200
caption,16,vision_half1,-12.864563751220704,0.858218578523632,3.7857478210101845e-06,4.67667089406274e-06,200
caption,16,vision_half2,-12.93207555770874,0.8625420961406158,3.5417016905966838e-06,4.2164517265088015e-06,200
caption,17,A_content,-12.721776776313781,0.8982339201765492,4.578827768925958e-06,6.301223587112256e-06,200
caption,17,B_content,-13.061027550697327,0.9141796622291551,3.282857662676628e-06,4.31701762144924e-06,200
caption,17,none,-12.823605999946594,0.841943997650661,3.95418657913381e-06,5.217876851248378e-06,200
caption,17,user,-14.37941653728485,0.8479873718951677,8.144850895901303e-07,8.097524929052746e-07,200
caption,17,user_text,-13.95800537109375,0.8995381659495533,1.256953229242518e-06,1.1752214828785392e-06,200
caption,17,vision,-12.666193675994872,0.8204036511442865,4.517789133936021e-06,5.49176054742656e-06,200
caption,17,vision_half1,-12.750197668075561,0.8337612039486046,4.204511335886933e-06,5.368545508280675e-06,200
caption,17,vision_half2,-12.804093265533448,0.8395048934372891,3.994645713396706e-06,4.974862785997224e-06,200
caption,18,A_content,-12.676750860214234,0.8934255188958626,4.660120479197302e-06,5.656002827771957e-06,200
caption,18,B_content,-13.011250262260438,0.9157992812943336,3.4337005958013084e-06,4.380469803428113e-06,200
caption,18,none,-12.80629735469818,0.8621021249816101,4.041499321012002e-06,4.986576930203461e-06,200
caption,18,user,-14.1326233959198,0.846739440414358,1.0434606257029773e-06,1.0883183320779252e-06,200
caption,18,user_text,-13.637621836662293,0.8770663984037702,1.6978521347254328e-06,1.5770241009509193e-06,200
caption,18,vision,-12.717554006576538,0.8493169598511329,4.373109126845178e-06,5.360631095907765e-06,200
caption,18,vision_half1,-12.760752906799317,0.8636092377574714,4.22778671922992e-06,5.26260544258408e-06,200
caption,18,vision_half2,-12.799713573455811,0.859885164830369,4.041328855483724e-06,4.83095735810278e-06,200
caption,19,A_content,-12.285333552360534,0.8566615940118231,6.6794047939284225e-06,7.5627419357992965e-06,200
caption,19,B_content,-12.551685304641724,0.8426945178149488,5.045483093142562e-06,5.24391619959869e-06,200
caption,19,none,-12.430067825317384,0.819572279141392,5.600096974319492e-06,5.724979250883831e-06,200
caption,19,user,-13.641517930030822,0.8248881910737587,1.6449748244416716e-06,1.5873887442685902e-06,200
caption,19,user_text,-13.076450128555297,0.8400203566664167,2.8712571794497115e-06,2.541120155963129e-06,200
caption,19,vision,-12.351910219192504,0.8090381152110769,6.0048110170466285e-06,6.123316009521116e-06,200
caption,19,vision_half1,-12.377368745803834,0.8120881899969873,5.866815419645394e-06,5.986191712270894e-06,200
caption,19,vision_half2,-12.430615162849426,0.8191775196995668,5.582572256072019e-06,5.577711625080904e-06,200
caption,20,A_content,-11.829020743370057,0.8076533121545207,1.0085522002362628e-05,9.595152218846223e-06,200
caption,20,B_content,-12.194638934135437,0.8003694398011044,7.03173592883333e-06,7.234913950998707e-06,200
caption,20,none,-11.993231492042542,0.7969956249433614,8.480522366992494e-06,7.773319465169735e-06,200
caption,20,user,-12.967114787101746,0.7643425349802898,3.0860249128963255e-06,2.659180411075909e-06,200
caption,20,user_text,-12.404995636940003,0.7390246471780961,5.255503797624017e-06,4.1038208521769785e-06,200
caption,20,vision,-11.88870470046997,0.7788204410380684,9.304424142303825e-06,8.412403070220294e-06,200
caption,20,vision_half1,-11.929343519210816,0.7875605095007255,8.992494608676274e-06,8.344026998710264e-06,200
caption,20,vision_half2,-11.989915871620179,0.7938771102921252,8.480618045713618e-06,7.667424545333318e-06,200
caption,21,A_content,-11.736582045555116,0.8382626214984983,1.1290630479589537e-05,1.0948956646308452e-05,200
caption,21,B_content,-12.096852421760559,0.8320537765948876,7.887879816817031e-06,7.684593543228087e-06,200
caption,21,none,-11.944336504936219,0.8196483185169433,9.084284005059418e-06,8.774031056320434e-06,200
caption,21,user,-12.921738004684448,0.8261774880171361,3.4306220693329764e-06,3.9995576306350795e-06,200
caption,21,user_text,-12.251995220184327,0.793524377387895,6.472209734514473e-06,6.57309094104489e-06,200
caption,21,vision,-11.892199473381043,0.8092428723887723,9.426313505534014e-06,8.739397269371119e-06,200
